,op_unique_carrier,carrier_arr,carrier_dep,carrier_percent_late,carrier_taxi_total,percent_carrier_delay_reduced
0,9E,14.54832154759002,16.078837152007885,43.550353572299436,31.55620580346257,62.448183369909785
1,AA,12.460389272856785,13.3875786920278,48.158558419806326,29.812583023699055,61.01688389195849
2,AS,9.231866485985307,7.355538121389345,48.805363383496186,28.945795592325794,46.45175094501106
3,AX,22.783676333021514,21.132600561272216,53.60149672591207,30.805659494855007,52.104770813844716
4,B6,22.751808972503618,23.587422707538483,54.94013945533482,26.879621102486517,59.49875016445204
5,C5,31.09159779614325,30.075068870523417,60.88154269972452,34.858126721763085,53.20247933884298
6,CP,10.796661965209214,11.299717912552891,43.27691584391161,30.442172073342736,59.68500235072872
7,DL,6.944679520583637,9.87147472642001,38.52214695153726,26.476539864512766,68.5273579989578
8,EM,10.533333333333333,9.218518518518518,43.7037037037037,12.307142857142857,41.48148148148148
9,EV,17.639373949036347,16.06441598758246,50.32984090027164,30.856034148234382,52.011382744793686
10,F9,22.035957383841374,23.2530334418467,57.7833678603137,29.143829535365494,60.03255401006214
11,G4,13.394957983193278,13.572114560109759,47.00737437832276,20.323615160349853,55.80517921454295
12,G7,18.147709067606538,19.17206023710349,44.88945850688882,30.007689842999035,60.5895546299263
13,HA,1.2766798418972332,0.6482213438735178,34.83201581027668,19.127140974967062,47.5296442687747
14,MQ,12.076568157925475,11.005431608456956,46.95129073706343,29.46010980025698,54.888447611260375
15,NK,11.439781185543897,13.01094072280513,42.69572235673931,26.592323558425253,64.32606941081518
16,OH,12.564342105263158,13.76,45.671052631578945,28.018355263157893,60.53947368421052
17,OO,13.740738204478532,13.881942066698624,44.72368691364788,29.538496655938275,56.87644091396745
18,PT,12.554390788795326,12.360027496133355,46.416910122014094,31.50094517958412,56.074926963395775
19,QX,5.303598658127478,5.187099725526075,42.39097285757853,20.067703568161022,52.11954864287892
20,UA,14.308729158730625,14.74841034957658,46.66979224660825,29.656547601605766,59.04415858411228
21,WN,7.963064950613589,12.93890451960491,43.30080814127506,18.141789883268483,76.86201736007183
22,YV,13.85446045370938,13.889025137952176,45.37860208461067,26.157572041692212,57.59503372164316
23,YX,13.511261003772722,12.685206356465073,46.21012918714988,32.253972790671085,55.8420029724477
24,ZW,17.493757551349173,16.273258155457107,47.3217881594845,31.90434957712445,53.403141361256544
